premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
A man is using what looks to be a fax machine.,A woman is using what looks to be a fax machine.,2,Either a woman or a man is using what looks to be a fax machine.,A man and a woman are two separate subjects.,A man and a woman can't be using the same fax machine at the same time.,,,,,,,*A* *man* is using what looks to be a fax machine.,*A* *woman* is using what looks to be a fax machine.,A *man* is using what looks to be a fax machine.,A *woman* is using what looks to be a fax machine.,A *man* is using what looks to be a fax machine.,A *woman* is using what looks to be a fax machine.,"A,man","A,woman"
An elderly man is smiling while sitting in front of a row of soda cans.,A young woman drank a lot of soda.,2,a young woman is not the same as an elderly man,He refers to an elderly man and not a young woman.,An elderly man is not a young woman.,,,,,,,An *elderly* *man* is smiling while sitting in front of a row of soda cans.,A *young* *woman* drank a lot of soda.,An *elderly* *man* is smiling while sitting in front of a row of soda cans.,A *young* *woman* drank a lot of soda.,An *elderly* *man* is smiling while sitting in front of a row of soda cans.,A *young* *woman* drank a lot of soda.,"man,elderly","young,woman"
A young boy plays on a pile of rocks.,A girl is having a tea party in her room.,2,A young boy is not a girl.,"One is a boy, the other is a girl",A boy is different from a girl.,,,,,,,A *young* *boy* plays on a pile of rocks.,A *girl* is having a tea party in her room.,A young *boy* plays on a pile of rocks.,A *girl* is having a tea party in her room.,A young *boy* plays on a pile of rocks.,A *girl* is having a tea party in her room.,"young,boy",girl
a man grabs his crotch during a political demonstration.,A woman grabs a man's crotch during a protest.,2,Mans grabs his crotch during a Peaceful Demonstration while a woman grabs a mans' crotch at a Protest.,A man is not a woman.,"If a man grabs his crotch, it is inaccurate to say that a woman has grabbed the man's crotch.",,,,,,,a *man* *grabs* *his* *crotch* during a *political* *demonstration.*,A *woman* *grabs* *a* *man's* *crotch* during a *protest.*,a *man* grabs his crotch during a political demonstration.,A *woman* grabs a man's crotch during a protest.,a *man* *grabs* *his* *crotch* during a political demonstration.,A *woman* *grabs* *a* *man's* *crotch* during a protest.,"crotch,his,demonstration,political,grabs,man","crotch,woman,man's,protest,a,grabs"
A dog and a cow play together inside the fence.,A dog and cow are outside.,0,"A dog and a cow are inside the fence, and the fence is outside.",There is both a dog and a cow in the scene.,Inside the fence implies outside.,,,,,,, A dog and a cow play together *inside* *the* *fence.*, A dog and cow are *outside.*, A *dog* and a *cow* play together inside the fence., A *dog* and *cow* are outside., A dog and a cow play together *inside* *the* *fence.*, A dog and cow are *outside.*,"fence,dog,inside,cow,the","dog,cow,outside"
People looking at their reflection and the reflection of a city in a long irregular shaped mirror,People look their reflection in a regular mirror.,2,The mirror cannot be both regular and irregularly shaped.,An irregular shaped mirror is not a regular mirror.,irregular not same as regular,,,,,,,People looking at their *reflection* and the reflection of a city in a long *irregular* *shaped* *mirror*,People look their *reflection* in a *regular* *mirror.*,People looking at their reflection and the reflection of a city in a long *irregular* *shaped* *mirror*,People look their reflection in a *regular* *mirror.*,People looking at their reflection and the reflection of a city in a long *irregular* shaped mirror,People look their reflection in a *regular* mirror.,"shaped,reflection,irregular,mirror","regular,reflection,mirror"
Woman running in a park while listening to music.,A man cooking at home.,2,It’s either a woman or a man.,A man is not a woman.,A woman running in the park can not also be a man or cooking at home at the same time.,,,,,,,*Woman* running in a park while listening to music.,A *man* cooking at home.,*Woman* running in a park while listening to music.,A *man* cooking at home.,*Woman* *running* in a *park* while listening to music.,A *man* *cooking* at *home.*,"park,Woman,running","cooking,man,home"
A man preparing to bat in a baseball game.,The woman is playing baseball.,2,A man is not a woman.,A man preparing to bat is not consistent with a woman playing baseball.,A man is different from a woman.,,,,,,,A *man* preparing to bat in a baseball game.,The *woman* is playing baseball.,A *man* *preparing* *to* *bat* in a baseball game.,The *woman* is *playing* *baseball.*,A *man* preparing to bat in a baseball game.,The *woman* is *playing* *baseball.*,"bat,to,man,preparing","baseball,playing,woman"
Man and a child at an exhibit booth looking at something.,A woman and her dog are eating breakfast.,2,"Sentence on mentions that both a man and a child are at an exhibit looking at something, sentence two is about a woman and her dog both eating breakfast.",A woman and her dog is no a man and a child.,The woman could not be eating breakfast at an exhibit,,,,,,,*Man* *and* *a* *child* at an exhibit booth looking at something.,*A* *woman* *and* *her* *dog* are eating breakfast.,*Man* *and* *a* *child* at an exhibit booth looking at something.,A *woman* *and* *her* *dog* are eating breakfast.,*Man* and a *child* at an exhibit booth looking at something.,A *woman* and her dog are eating breakfast.,"and,a,child,Man","A,woman,and,dog,her"
A girl in a pink sundress pushes a scooter past a row of orange construction barrels.,A boy is pushing the scooter.,2,"The child must be either a boy or a girl, it cannot be both",A girl is not a boy.,It's either a boy or a girl.,,,,,,,A *girl* in a pink sundress pushes a scooter past a row of orange construction barrels.,A *boy* is pushing the scooter.,A *girl* in a pink sundress pushes a scooter past a row of orange construction barrels.,A *boy* is pushing the scooter.,A *girl* in a pink sundress pushes a scooter past a row of orange construction barrels.,A *boy* is pushing the scooter.,girl,boy
A dark headed woman picking out a green flower from a large bucket full of them.,A man writes in a journal.,2,The subject is either a man or woman.,A MAN AND WOMAN ARE NOT SAME AND PICKING THE FLOWER AND WRITING A JOURNAL ARE NOT SAME.,"A woman and a man belong to different genders. If one is picking out something, then one is not busy writing. A flower and journal can't be the same object.",,,,,,,A dark headed *woman* picking out a green flower from a large bucket full of them.,A *man* writes in a journal.,A dark headed *woman* *picking* out a green *flower* from a large bucket full of them.,A *man* *writes* in a *journal.*,A dark headed *woman* *picking* *out* a green *flower* from a large bucket full of them.,A *man* *writes* in a *journal.*,"out,flower,picking,woman","writes,man,journal"
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,The tennis ball is clean.,2,Clean tennis in neat place and dirty tennis ball in dirty place,DOG AND THE BALL CANNOT BE ONE,ball can't be clean if it is dirty,,,,,,,A brown dog is in the middle of a line of dogs chasing a *dirty* *tennis* *ball* over dirt.,The *tennis* *ball* is *clean.*,A brown *dog* is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,The tennis *ball* is clean.,A brown dog is in the middle of a line of dogs chasing a *dirty* *tennis* *ball* over dirt.,The *tennis* *ball* is *clean.*,"ball,tennis,dog,dirty","ball,tennis,clean"
A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is standing.,2,One can't be standing and sitting simultaneously.,The woman cannot be sitting and standing simultaneously.,One cannot be sitting down and standing at the same time.,,,,,,,A woman is *sitting* *down* doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is *standing.*,A woman is *sitting* down doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is *standing.*,A woman is *sitting* *down* doing some sort of craft work while another person operates a large wooden loom device in the background.,The woman is *standing.*,"sitting,down",standing
Four young children appear in this image wearing pants and shirts while they lounge in the room.,Three middle aged men work at desks.,2,"Four young children are not three middle aged men. To ""lounge"" is to relax, not to ""work"".",Children cannot be middle aged men.,There can either three men or four children.,,,,,,,*Four* *young* *children* appear in this image wearing pants and shirts while they *lounge* in the room.,*Three* *middle* *aged* *men* *work* at desks.,Four young *children* appear in this image wearing pants and shirts while they lounge in the room.,Three middle aged *men* work at desks.,*Four* young children appear in this image wearing pants and shirts while they lounge in the room.,*Three* middle aged men work at desks.,"children,Four,lounge,young","work,middle,aged,Three,men"
"Five individuals standing on grass next to a brick building, holding their own string instrument.",The people are seated next to a building.,2,They cannot be standing and seated.,They're either standing or sitting.,You can't be seated and standing at the same time.,,,,,,," Five individuals *standing* on grass next to a brick building, holding their own string instrument.",The people are *seated* next to a building.," Five individuals *standing* on grass next to a brick building, holding their own string instrument.",The people are *seated* next to a building.," Five individuals *standing* on grass next to a brick building, holding their own string instrument.",The people are *seated* next to a building.,standing,seated
A woman and a young girl are sitting down and smiling.,The women are standing and frowning.,2,They are either sitting or standing. They are either frowning or smiling.,"There are either women or a woman and a young girl, and they are either sitting down and smiling or standing and frowning.",a women would be either sitting or standing,,,,,,,A woman and a young girl are *sitting* down and *smiling.*,The women are *standing* and *frowning.*,A *woman* *and* *a* *young* *girl* are *sitting* *down* *and* *smiling.*,The *women* are *standing* *and* *frowning.*,A woman and a young girl are *sitting* down and smiling.,The women are *standing* and frowning.,"woman,sitting,young,and,girl,smiling,a,down","standing,frowning,women,and"
A crowd of people is looking at something outside of a Gap store.,People are looking inside,2,Outside is not inside.,People are either looking outside or inside,"If people are looking outside, they are not looking inside.",,,,,,,A crowd of people is looking at something *outside* of a Gap store.,People are looking *inside*,A crowd of people is looking at something *outside* of a Gap store.,People are looking *inside*,A crowd of people is looking at something *outside* of a Gap store.,People are looking *inside*,outside,inside
A young girl is standing in a kitchen holding a green bib.,A boy is playing with a firetruck.,2,"The subject is either a girl or boy, either playing with a firetruck or holding a bib.",It can either be a boy or a girl,The person can only be a boy or a girl.,,,,,,,A young *girl* is standing in a kitchen *holding* a green *bib.*,A *boy* is *playing* with a *firetruck.*,A *young* *girl* is standing in a kitchen holding a green bib.,A *boy* is playing with a firetruck.,A young *girl* is standing in a kitchen holding a green bib.,A *boy* is playing with a firetruck.,"girl,young,bib,holding","firetruck,playing,boy"
Two men are working together to empty the barrel of its contents.,A man and woman are emptying the barrel.,2,Two men and a  man and a woman cannot be the same.,Two men cannot become a man and a  woman.,two men are working together not invovling a women,,,,,,,*Two* *men* are working together to empty the barrel of its contents.,A *man* *and* *woman* are emptying the barrel.,*Two* *men* are working together to empty the barrel of its contents.,*A* *man* *and* *woman* are emptying the barrel.,*Two* *men* are working together to empty the barrel of its contents.,A *man* and *woman* are emptying the barrel.,"men,Two","and,A,man,woman"
A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A woman cuts eggplant.,2,A man can't be a woman.,Man versus woman,A man and a woman cannot be the same person. A woman is unlikely to be cutting an eggplant in a truck.,,,,,,,A *man* looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A *woman* cuts eggplant.,A *man* looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A *woman* cuts eggplant.,A *man* looks mysterious in a blue shirt and a red *truck* for a company called Wilbert.,A *woman* *cuts* *eggplant.*,"man,truck","eggplant,cuts,woman"
"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",An old man rides a skateboard.,2,Either the man is young or old.,The man is either old or young.,it would be either a young man or old man on skateboard,,,,,,," A *young* man in an orange shirt, maneuvers a skateboard at the top of a ramp.",An *old* man rides a skateboard.," A *young* *man* in an orange shirt, maneuvers a skateboard at the top of a ramp.",An *old* *man* rides a skateboard.," A *young* *man* in an orange shirt, maneuvers a skateboard at the top of a ramp.",An *old* *man* rides a skateboard.,"young,man","old,man"
Very young boy is standing outside near a water fountain that is built into the ground and is squirting water.,The young boy is standing inside.,2,A boy standing outside cannot be standing inside at the same time.,One can only in one outside or inside,The young boy cannot be standing outside and inside simultaneously.,,,,,,,Very young boy is *standing* *outside* near a water fountain that is built into the ground and is squirting water.,The young boy is *standing* *inside.*,Very young boy is standing *outside* near a water fountain that is built into the ground and is squirting water.,The young boy is standing *inside.*,Very *young* *boy* is standing *outside* near a water fountain that is built into the ground and is squirting water.,The young boy is *standing* *inside.*,"young,standing,outside,boy","standing,inside"
Man racing a quad on a dirt racetrack.,A woman cuts herself.,2,A man and a woman are two different genders.,"A woman is different from a man, and while the woman cuts herself, the man is  racing a quad on a dirt racetrack.",A man racing is not a woman cutting herself.,,,,,,,*Man* racing a quad on a dirt racetrack.,A *woman* cuts herself.,*Man* *racing* *a* *quad* on a dirt racetrack.,*A* *woman* cuts herself.,*Man* *racing* a quad on a dirt racetrack.,A *woman* *cuts* herself.,"racing,a,quad,Man","A,cuts,woman"
A blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of art on it.,A blond woman is holding a camera and looking at a wall with several pieces of sharks on it.,2,Art is not sharks.,Art and sharks aren't the same.,The woman holding the camera cannot be both a brunette and a blond.,,,,,,,A blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of *art* on it.,A blond woman is holding a camera and looking at a wall with several pieces of *sharks* on it.,A blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of *art* on it.,A blond woman is holding a camera and looking at a wall with several pieces of *sharks* on it.,A blond woman is looking at a *camera* that a *brunette* *woman* *is* *holding* in front of a wall with several pieces of art on it.,A *blond* *woman* is *holding* *a* *camera* and looking at a wall with several pieces of sharks on it.,"art,woman,holding,brunette,is,camera","woman,holding,sharks,blond,camera,a"
"Using a soccer ball for support, a young boy in blue sits atop a park bench.",A girl is inside playing a board game.,2,The first sentence has a boy sits outside while the second one has a girl playing inside.,A girl is not a boy.  A park bench is not inside.,the person is either a boy or a girl and they are either at a park bench or inside,,,,,,," Using a soccer ball for support, a young *boy* in blue *sits* *atop* a *park* *bench.*",A *girl* is *inside* *playing* a *board* *game.*," Using a soccer ball for support, a young *boy* in blue sits atop a *park* *bench.*",A *girl* is *inside* playing a board game.," Using a soccer ball for support, a young *boy* in blue sits atop a *park* *bench.*",A *girl* is *inside* playing a board game.,"bench,boy,park,atop,sits","playing,girl,inside,board,game"
An elderly woman wearing a skirt is picking out vegetables at a local market.,A young girl is blowing bubbles.,2,Young is the opposite of elderly.,She can't be an elderly woman and young girl at the same time.,The subject cannot be both an elderly woman and a young girl.,,,,,,,An *elderly* woman wearing a skirt is picking out vegetables at a local market.,A *young* girl is blowing bubbles.,An *elderly* *woman* wearing a skirt is picking out vegetables at a local market.,A *young* *girl* is blowing bubbles.,An *elderly* *woman* wearing a skirt is picking out vegetables at a local market.,A *young* *girl* is blowing bubbles.,"woman,elderly","girl,young"
A scruffy man is standing in front of a red shopping cart filled with boxes.,A clean shaven man with an empty blue shopping cart.,2,"The man's face can either be clean shaven or scruffy, the cart can either be full and red or empty and blue.","scruffy or clean shaven, shopping cart is blue or red.",The man is either scruffy or clean shaven.,,,,,,,A *scruffy* man is standing in front of a *red* shopping cart *filled* with boxes.,A *clean* shaven man with an *empty* *blue* shopping cart.,A *scruffy* man is standing in front of a *red* shopping cart filled with boxes.,A *clean* *shaven* man with an empty *blue* shopping cart.,A *scruffy* man is standing in front of a red shopping cart filled with boxes.,A *clean* *shaven* man with an empty blue shopping cart.,"red,scruffy,filled","blue,empty,clean,shaven"
A woman wearing very formal colorful clothing and she seems to be dancing.,A man wearing very formal colorful clothing and she seems to be dancing.,2,A person cannot be both a man and a woman.,A man is not called a she.,The subject is either a woman or a man.,,,,,,,A *woman* wearing very formal colorful clothing and she seems to be dancing.,A *man* wearing very formal colorful clothing and she seems to be dancing.,A *woman* wearing very formal colorful clothing and *she* seems to be dancing.,A *man* wearing very formal colorful clothing and *she* seems to be dancing.,*A* *woman* wearing very formal colorful clothing and she seems to be dancing.,*A* *man* wearing very formal colorful clothing and she seems to be dancing.,"she,A,woman","she,A,man"
A man draws a caricature of a woman.,A man drawing.,0,A man drawing a caricature of a women,A man draws and a man drawing mean the same thing.,Draws a caricature is a type of drawing.,,,,,,, *A* *man* draws a *caricature* *of* *a* *woman.*, A man *drawing.*, A *man* *draws* a caricature of a woman., A *man* *drawing.*, A man *draws* *a* *caricature* of a woman., A man *drawing.*,"A,woman,caricature,draws,a,man,of","man,drawing"
Lot of people are gathered in front of a building.,People walk back inside the building.,2,They are contradictory bc in the first they are outside but the second sentence states they walk back inside.,In front of a building is different from inside the building.,"If people are going inside the building, they are not gathered in front of it.",,,,,,,Lot of people are *gathered* in *front* of a building.,People *walk* *back* *inside* the building.,Lot of people are gathered *in* *front* *of* *a* *building.*,People walk back *inside* *the* *building.*,Lot of people are *gathered* in front of a building.,People *walk* back inside the building.,"front,in,gathered,a,building,of","back,walk,inside,the,building"
An medical worker examines a young girl.,A health worker is evaluating the health of a young boy.,2,Girl is the opposite gender of a boy.,The worker is either tending to a girl or a boy.,A girl and a boy are two different genders.,,,,,,,An medical worker examines a young *girl.*,A health worker is evaluating the health of a young *boy.*,An medical worker examines a young *girl.*,A health worker is evaluating the health of a young *boy.*,An medical worker examines a young *girl.*,A health worker is evaluating the health of a young *boy.*,girl,boy
A woman in a hooded type coat is holding a golden colored axe.,A man holds a sword.,2,The person is either a man or a woman and can't be both.,The first sentence is about a woman and the second sentence is about a man.,You cannot be a man and a woman. The person is holding either a sword or axe.,,,,,,,A *woman* in a hooded type coat is holding a golden colored *axe.*,A *man* holds a *sword.*,A *woman* in a hooded type coat is holding a golden colored axe.,A *man* holds a sword.,A *woman* in a hooded type coat is holding a golden colored *axe.*,A *man* holds a *sword.*,"axe,woman","sword,man"
A man with a paddle stands next to a woman with a bikini top; and her arms are in a dance pose.,someone dances while a man holds a paddle,0,Someone dances because she is in a dance pose.,"A man has a paddle in both sentences, the word someone can refer to a woman, and in a dance pose is a rephrasing of dances.",A man and a woman dances in the beach by holds a paddle.,,,,,,, A man with a paddle stands next to a woman with a bikini top; and her arms are *in* a *dance* *pose.*, someone *dances* while a man holds a paddle, A *man* with a *paddle* stands next to a *woman* with a bikini top; and her arms are *in* *a* *dance* *pose.*, *someone* *dances* while a *man* holds a *paddle*, A *man* with a paddle stands next to a *woman* with a bikini top; and her arms are in a dance pose., someone *dances* while a man *holds* a *paddle*,"woman,pose,in,dance,paddle,a,man","someone,dances,paddle,holds,man"
"Young boy plays with a truck outdoors, while a woman waits.",Young boy sits inside,2,Plays and sits are two different things. Which one is he doing? Outdoors and inside contradict each other. It can be only one.,A young boy cannot be outdoors and inside at the same time.,The boy is either inside or outdoors.,,,,,,," Young boy *plays* with a truck *outdoors,* while a woman waits.",Young boy *sits* *inside*," Young boy plays with a truck *outdoors,* while a woman waits.",Young boy sits *inside*," Young boy plays with a truck *outdoors,* while a woman waits.",Young boy sits *inside*,"outdoors,plays","sits,inside"
"an Asian woman dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her",An Asian man is dancing.,2,"The picture is of either a woman or a man, not both.",A MAN AND WOMAN ARE NOT SAME,The person is either a man or a woman.,,,,,,," an Asian *woman* dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her",An Asian *man* is dancing.," an Asian *woman* dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her",An Asian *man* is dancing.," an Asian *woman* dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her",An Asian *man* is dancing.,woman,man
A big black poodle running on the grass with a toy in its mouth.,A white dog stole a toy.,2,"the dog cannot be black and white at the same time, and there are no facts implying it was a multicolored dogs. Ergo, there are two separate dogs.","One dog is black, the other is white.",It first said black dog then it said white dog,,,,,,,A big *black* *poodle* running on the grass with a toy in its mouth.,A *white* *dog* stole a toy.,A big *black* poodle running on the grass with a toy in its mouth.,A *white* dog stole a toy.,A big *black* *poodle* running on the grass with a toy in its mouth.,A *white* dog stole a toy.,"black,poodle","dog,white"
A man rides a black motorcycle while wearing a helmet and a van rides beside him in the distance.,A man rides a white horse while wearing a cowboy hat and a another horse rides beside him.,2,A man cannot be riding a horse and a motorcycle at the same time and the form of transport cannot be both clearly white as well as black.  Furthermore the man cannot be wearing both a helmet and a cowboy hat.,A black motorcycle and white horse are two different objects. A helmet is not the same as a cowboy hat. A van is not the same as a horse.,A man can't be riding a motorcycle and a horse at the same time.,,,,,,,A man rides a black *motorcycle* while wearing a *helmet* and a *van* rides *beside* *him* *in* *the* *distance.*,A man rides a white *horse* while wearing a *cowboy* *hat* and a another *horse* rides beside him.,A man rides a *black* *motorcycle* while wearing a *helmet* and a *van* rides beside him in the distance.,A man rides a *white* *horse* while wearing a *cowboy* *hat* and a another *horse* rides beside him.,A man rides a black *motorcycle* while wearing a helmet and a van rides beside him in the distance.,A man rides a white *horse* while wearing a cowboy hat and a another horse rides beside him.,"him,in,black,distance,van,beside,helmet,the,motorcycle","hat,horse,white,cowboy"
a man playing guitar and signing next to a woman in a dress playing an instrument,A man and woman make music.,0,A man playing guitar and signing with a woman playing an instrument is making music.,Playing guitar and playing an instrument are a method to make music.,The man and woman make music playing a guitar and other instrument.,,,,,,, a *man* playing *guitar* and *signing* next to a *woman* in a dress *playing* an *instrument*, A *man* and *woman* make *music.*, a man *playing* *guitar* and signing next to a woman in a dress *playing* *an* *instrument*, A man and woman *make* *music.*, a *man* *playing* *guitar* and signing next to a *woman* in a dress playing an *instrument*, A *man* and *woman* make *music.*,"woman,an,guitar,playing,instrument,signing,man","make,music,man,woman"
A team of surgeons operate on a female patient.,The surgeons are operating on a male patient.,2,A female is not a male.,The patient must be either male or female.,The patient is either male or female.,,,,,,,A team of surgeons operate on a *female* patient.,The surgeons are operating on a *male* patient.,A team of surgeons operate on a *female* patient.,The surgeons are operating on a *male* patient.,A team of surgeons operate on a *female* patient.,The surgeons are operating on a *male* patient.,female,male
a young girl looking down through some leaves from atop a tree.,There is a boy in a tree.,2,There can be either a boy or a girl.,There can either be a girl or a boy.,Either a boy or a girl are in a tree.,,,,,,,a *young* girl looking down through some leaves from atop a tree.,There is a *boy* in a tree.,a young *girl* looking down through some leaves from atop a tree.,There is a *boy* in a tree.,a young *girl* looking down through some leaves from atop a *tree.*,There is a *boy* in a *tree.*,"girl,young,tree","tree,boy"
A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A woman sits on a table,2,The person can't be next to a table while on a table.,A woman is not a man.,A man is different from a woman.,,,,,,,A man in glasses and an orange shirt is sitting outside *next* *to* *a* *table* with drinks on it.,A woman sits *on* *a* *table*,A man *in* glasses and an orange shirt is sitting outside next to a table with drinks on it.,A *woman* sits on a table,A *man* in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A *woman* sits on a table,"in,to,table,a,man,next","table,a,on,woman"
"There are two kilted men, one of them older and is holding bagpipes with the other one with a drum.",Two woman are dancing,2,The subject is either two men or two woman.,One cannot be a man and a woman at the same time.,"the first sentence is talking about the two men but, the sentence 2 is taking about two women",,,,,,," There are two kilted *men,* one of them older and is holding bagpipes with the other one with a drum.",Two *woman* are dancing," There are two kilted *men,* one of them older and is holding bagpipes with the other one with a drum.",Two *woman* are dancing," There are two kilted *men,* one of them older and is holding bagpipes with the other one with a drum.",Two *woman* are dancing,men,woman
A thin brunette woman lounges while reading on a rooftop overlooking a cityscape.,A fat blonde is eating a hot dog,2,The same woman cannot be a thin brunette as well as a fat blonde in appearance.,A thin brunette is not a fat blonde. A woman lounging and reading is not eating a hotdog.,a fat blonde is not a thin brunette,,,,,,,A *thin* *brunette* woman lounges while reading on a rooftop overlooking a cityscape.,A *fat* *blonde* is eating a hot dog,A *thin* *brunette* woman lounges while *reading* on a rooftop overlooking a cityscape.,A *fat* *blonde* is *eating* a hot dog,A *thin* *brunette* woman lounges while reading on a rooftop overlooking a cityscape.,A *fat* *blonde* is eating a hot dog,"brunette,reading,thin","eating,fat,blonde"
A boy rides his skateboard at the park.,A girl rides his skateboard at the park.,2,It is either a boy or a girl.,His skateboard refers to a boy.,A boy riding his skateboard cannot be called a girl.,,,,,,,A *boy* rides his skateboard at the park.,A *girl* rides *his* skateboard at the park.,A *boy* rides *his* skateboard at the park.,A *girl* rides *his* skateboard at the park.,A *boy* rides his skateboard at the park.,A *girl* rides *his* skateboard at the park.,"his,boy","girl,his"
A group of women playing volleyball indoors.,People are outside tossing a ball.,2,Playing volleyball is usually not described as tossing a ball.,Playing volleyball indoors is different from playing outside.,People can't be outside if women are playing volleyball indoors.,,,,,,,A group of women *playing* *volleyball* indoors.,People are outside *tossing* *a* *ball.*,A group of women playing *volleyball* *indoors.*,People are *outside* tossing a ball.,A group of *women* *playing* *volleyball* *indoors.*,*People* are *outside* tossing a ball.,"women,volleyball,indoors,playing","ball,People,tossing,a,outside"
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,2,"A WOMAN CANNOT BE A MAN, REGARDLESS OF WHETHER THEY ARE WEARING A STRIPED WRAP OR BATHING SUIT.",Answer; There are two people a woman wearing striped wrap and a man in his bathing suit.,"A man is different from a woman, and while the man is wearing a bathing suit , the woman is wearing a striped wrap.",,,,,,,A *woman* wearing a *striped* *wrap* is bent over in a cornfield while looking at the camera.,A *man* wearing a *bathing* *suit* is bent over in a cornfield while looking at the camera.,A *woman* wearing a *striped* *wrap* is bent over in a cornfield while looking at the camera.,A *man* wearing a *bathing* *suit* is bent over in a cornfield while looking at the camera.,*A* *woman* wearing a *striped* *wrap* is bent over in a cornfield while looking at the camera.,*A* *man* wearing a *bathing* *suit* is bent over in a cornfield while looking at the camera.,"wrap,striped,A,woman","bathing,A,man,suit"
"A woman in skirt, torn stockings and combat boots and a man in aviators and batman tank top walk down a city street.",A man and woman walk down a city street.,0,A man and a woman is just a reordering of a woman and a man.,A woman in combat boots walks down a street in the city.,"Woman in skirt is a type of woman, and man in aviators is a type of man.",,,,,,," A *woman* in skirt, torn stockings and combat boots and a *man* in aviators and batman tank top walk down a city street.", A *man* and *woman* walk down a city street.," A *woman* in skirt, torn stockings and *combat* *boots* and a man *in* aviators and batman tank top walk down a *city* *street.*", A *man* *and* woman *walk* *down* a city street.," A *woman* *in* *skirt,* torn stockings and combat boots and a *man* *in* *aviators* and batman tank top walk down a city street.", A *man* and *woman* walk down a city street.,"combat,boots,woman,aviators,in,skirt,city,street,man","woman,and,walk,down,man"
Women in blue dress singing on stage.,A man is singing on stage.,2,The person singing on stage can't be both a man and a woman.,Man cannot be  women,One cannot be a man and a women at the same time.,,,,,,,*Women* in blue dress *singing* on stage.,A *man* is *singing* on stage.,*Women* in blue dress singing on stage.,A *man* is singing on stage.,*Women* in blue dress singing on stage.,A *man* is singing on stage.,"Women,singing","man,singing"
A man sits at a table in a room.,A woman sits.,2,a man is different than woman,He refers to a man and not a woman.,IT IS EITHER A MAN OR WOMAN WHO SITS,,,,,,,A *man* sits at a table in a room.,A *woman* sits.,A *man* sits at a table in a room.,A *woman* sits.,A *man* sits at a table in a room.,A *woman* sits.,man,woman
A man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him.,a man is taking pictures,0,Taking pictures implies looking at the camera.,"Looking at the camera implies taking pictures, and man wearing a stocking hat is a type of man.",A man with a beard and a stocking hat is taking taking pictures of 2 ladies on a couch.,,,,,,, A man wearing a stocking hat and has a beard is *looking* *at* *the* *camera* with two women sitting on the couch next to him., a man is *taking* *pictures*, A *man* *wearing* *a* *stocking* *hat* and has a beard is *looking* *at* *the* *camera* with two women sitting on the couch next to him., a *man* is *taking* *pictures*, A man wearing a *stocking* *hat* and has a *beard* is looking at the *camera* with *two* *women* *sitting* *on* *the* *couch* next to him., a man is *taking* *pictures*,"two,looking,sitting,stocking,women,on,wearing,at,camera,beard,couch,hat,a,the,man","taking,pictures,man"
A man wearing a white t-shirt and shorts is rock climbing with other people wearing blue hard hats.,A man in a black t-shirt and shorts is hiking up a mountain.,2,A man can either wear a black t-shirt or a white t-shirt but not both.,A black t-shirt is not a white t-shirt.  If a man is rock climbing he is not hiking up a mountain.,white not same as  black,,,,,,,*A* *man* *wearing* a *white* *t-shirt* and shorts is rock climbing with other people wearing blue hard hats.,*A* *man* in a *black* *t-shirt* and shorts is hiking up a mountain.,A *man* wearing a *white* *t-shirt* and shorts is *rock* *climbing* with other people wearing blue hard hats.,A *man* in a *black* *t-shirt* and shorts is *hiking* *up* *a* *mountain.*,A man wearing a *white* t-shirt and shorts is rock climbing with other people wearing blue hard hats.,A man in a *black* t-shirt and shorts is hiking up a mountain.,"white,A,rock,climbing,wearing,man,t-shirt","hiking,A,a,black,up,mountain,man,t-shirt"
